iter	Passed	Remaining
0	192	38283
1	378	37443
2	553	36323
3	624	30617
4	814	31762
5	996	32222
6	1270	35024
7	1527	36668
8	1741	36948
9	1923	36555
10	2126	36528
11	2328	36486
12	2548	36654
13	2738	36382
14	2928	36113
15	3152	36256
16	3360	36175
17	3504	35434
18	3696	35212
19	3902	35126
20	4010	34182
21	4210	34067
22	4451	34256
23	4663	34198
24	4910	34375
25	5134	34362
26	5354	34305
27	5592	34352
28	5836	34412
29	6071	34403
30	6287	34276
31	6488	34066
32	6518	32985
33	6705	32737
34	6921	32629
35	7124	32456
36	7339	32331
37	7549	32182
38	7757	32022
39	7966	31864
40	8156	31630
41	8372	31498
42	8583	31338
43	8779	31126
44	8971	30903
45	9148	30626
46	9329	30369
47	9543	30221
48	9725	29970
49	9911	29733
50	10052	29369
51	10241	29148
52	10425	28916
53	10606	28677
54	10807	28491
55	11007	28305
56	11200	28098
57	11410	27936
58	11603	27730
59	11808	27553
60	12015	27379
61	12210	27179
62	12404	26975
63	12431	26415
64	12616	26202
65	12799	25986
66	13009	25825
67	13195	25614
68	13383	25409
69	13571	25203
70	13768	25015
71	13982	24857
72	14198	24702
73	14390	24502
74	14577	24295
75	14783	24121
76	14999	23960
77	15198	23772
78	15397	23583
79	15590	23386
80	15786	23192
81	15988	23008
82	16215	22858
83	16430	22690
84	16632	22502
85	16869	22362
86	17089	22197
87	17283	21996
88	17477	21797
89	17667	21593
90	17868	21402
91	18142	21298
92	18354	21117
93	18573	20944
94	18779	20756
95	18975	20556
96	19195	20382
97	19390	20182
98	19581	19977
99	19765	19765
100	19953	19558
101	20178	19386
102	20364	19178
103	20543	18963
104	20746	18770
105	20938	18567
106	21131	18366
107	21332	18172
108	21520	17966
109	21706	17759
110	21901	17560
111	22140	17396
112	22323	17187
113	22512	16983
114	22697	16776
115	22912	16591
116	23101	16388
117	23285	16181
118	23467	15973
119	23649	15766
120	23838	15563
121	24018	15355
122	24194	15146
123	24370	14937
124	24553	14731
125	24757	14539
126	24956	14345
127	25142	14142
128	25325	13939
129	25502	13732
130	25675	13523
131	25850	13316
132	26030	13113
133	26200	12904
134	26381	12702
135	26571	12504
136	26754	12303
137	26961	12113
138	27139	11910
139	27319	11708
140	27498	11506
141	27686	11308
142	27855	11103
143	28032	10901
144	28209	10700
145	28378	10496
146	28555	10295
147	28735	10096
148	28938	9905
149	29113	9704
150	29288	9504
151	29472	9307
152	29652	9108
153	29828	8909
154	30004	8711
155	30178	8511
156	30359	8315
157	30531	8115
158	30703	7917
159	30910	7727
160	31126	7539
161	31352	7354
162	31573	7166
163	31749	6969
164	31928	6772
165	32104	6575
166	32280	6378
167	32457	6182
168	32632	5985
169	32813	5790
170	33025	5600
171	33207	5405
172	33389	5211
173	33571	5016
174	33751	4821
175	33939	4628
176	34115	4433
177	34286	4237
178	34459	4042
179	34643	3849
180	34820	3655
181	35028	3464
182	35199	3269
183	35372	3075
184	35548	2882
185	35720	2688
186	35899	2495
187	36085	2303
188	36267	2110
189	36441	1917
190	36614	1725
191	36790	1532
192	36995	1341
193	37175	1149
194	37348	957
195	37524	765
196	37703	574
197	37879	382
198	38063	191
199	38237	0
